rise;live;river;water;people;storm;wrong
include;come;;;;;wrong
experience;record;;;;;wrong
destroy;disrupt;;;;;wrong
shake;feel;;;;;correct
remain;pass;;;;;wrong
multiply;exceed;loss;dike;damage;quantity;correct
set;record;country;record;station;wind;correct
delimit;limit;;;;;wrong
attain;degenerate;;;;;wrong
wash;damage;;;;;correct
close;reopen;organization;school;organization;road;correct
drop;damage;storm;rainfall;wind;home;correct
contribute;strike;organization;money;earthquake;country;wrong
cover;occur;flood;area;earthquake;quantity;wrong
occur;sustain;;;;;wrong
cancel;issue;;;;;wrong
remain;return;;;;;correct-reversed
break;burn;fire;record;fire;quantity;correct
delimit;limit;date;period;shear;damage;wrong
level;damage;;;;;wrong
strike;sustain;earthquake;country;home;damage;correct
define;intensify;plan;eye;person;storm;wrong
experience;occur;;;;;correct-reversed
impact;result;storm;country;damage;flood;correct
reflect;speak;person;activity;person;language;wrong
have;judge;;;;;wrong
build;rebuild;;;;;correct
replace;strike;organization;person;earthquake;country;wrong
record;flood;;;;;wrong
upgrade;designate;;;;;wrong
hit;bring;earthquake;country;storm;rain;wrong
donate;contribute;;;;;correct
destroy;rebuild;;;;;correct
base;intensify;;;;;wrong
affect;amount;;;;;wrong
hit;hold;earthquake;country;dike;water;wrong
affect;fall;person;country;quantity;tree;correct-reversed
classify;assign;organization;system;organization;name;wrong
isolate;leave;flooding;community;storm;people;correct-reversed
slow;intensify;;;;;wrong
dissipate;kill;;;;;wrong
multiply;exceed;;;;;correct
determine;contribute;organization;epicentre;organization;money;wrong
send;distribute;organization;team;organization;food;correct
evacuate;accord;people;people;number;rating;wrong
transition;absorb;;;;;wrong
assign;judge;;;;;correct-reversed
evacuate;take;people;people;person;place;wrong
track;organize;;;;;correct-reversed
hit;damage;;;;;correct-reversed
move;emerge;person;westward;wave;country;correct-reversed
level;destroy;;;;;correct
weaken;make;;;;;wrong
close;issue;;;;;correct
lead;occur;rain;organization;earthquake;quantity;correct-reversed
include;survive;person;organization;person;earthquake;correct
associate;summarize;person;convection;table;system;wrong
inundate;die;;;;;correct
weaken;drop;person;trend;storm;rainfall;correct-reversed
move;cross;person;westward;person;country;correct
conduct;include;;;;;wrong
ignite;burn;;;;;correct
because;hit;;;;;wrong
donate;distribute;organization;money;organization;food;correct
leave;evacuate;storm;people;people;people;correct-reversed
exceed;lose;;;;;wrong
move;bring;person;westward;storm;rain;wrong
affect;total;person;country;damage;money;correct
move;designate;person;westward;organization;system;correct
warn;strengthen;;;;;correct
increase;weaken;convection;shear;person;trend;wrong
affect;cancel;;;;;wrong
burn;break;fire;quantity;fire;record;correct
measure;shake;;;;;correct
occur;prevent;;;;;correct
mark;start;this;name;person;fire;wrong
destroy;demolish;;;;;correct
speak;exceed;;;;;wrong
raise;bring;;;;;wrong
want;beware;person;housekeeper;;hurricane;wrong
donate;send;;;;;correct
send;dispatch;organization;team;organization;team;correct
develop;note;;;;;wrong
end;feature;season;drought;date;cyclone;wrong
damage;spawn;wind;home;storm;tornado;wrong
kill;rise;;;;;wrong
organize;enter;system;convection;person;area;wrong
destroy;level;;;;;correct
touch;reach;;;;;correct
document;form;;;;;correct
cause;strike;storm;damage;earthquake;country;correct-reversed
damage;operate;wind;home;organization;organization;wrong
experience;issue;;;;;correct
donate;match;organization;money;organization;donation;correct
interact;reach;;;;;wrong
classify;track;organization;system;person;northwestward;wrong
weaken;produce;;;;;correct
control;burn;;;;;correct
accumulate;multiply;water;cyclone;loss;dike;correct
hit;block;;;;;correct
exceed;include;;;;;wrong
strike;bring;earthquake;country;storm;rain;wrong
report;peak;;;;;correct-reversed
attain;develop;person;intensity;depression;eye;wrong
damage;die;;;;;correct
leave;close;;;;;wrong
affect;die;person;country;people;person;wrong
flood;cause;;;;;correct-reversed
organize;follow;system;convection;organization;date;wrong
develop;move;;;;;wrong
continue;cross;person;westward;person;country;correct
organize;upgrade;system;convection;organization;system;correct
cut;kill;person;power;person;people;correct
leave;include;storm;people;person;organization;wrong
occur;trigger;;;;;correct-reversed
kill;work;person;people;person;shift;wrong
record;produce;;;;;wrong
last;reach;;;;;wrong
fight;contain;;;;;correct
evacuate;flood;;;;;correct-reversed
strengthen;continue;person;storm;person;westward;correct
continue;drop;person;westward;storm;rainfall;correct
work;include;;;;;wrong
evacuate;strand;people;people;flooding;people;correct
injure;destroy;number;people;tornado;home;correct-reversed
want;go;;;;;correct
expose;intensify;;;;;wrong
damage;leave;wind;home;storm;people;correct
move;consist;person;westward;person;rock;wrong
destroy;burn;;;;;correct-reversed
increase;strengthen;;;;;correct
track;injure;person;northwestward;number;people;wrong
speak;exceed;person;language;damage;quantity;wrong
relate;include;organization;death;person;organization;wrong
release;form;organization;advisory;person;quantity;wrong
drop;produce;storm;rainfall;storm;wind;wrong
classify;continue;organization;system;person;westward;wrong
cause;affect;storm;damage;person;country;correct
evacuate;erupt;;;;;correct-reversed
fall;kill;quantity;tree;person;people;correct
pass;bring;person;quantity;storm;rain;wrong
assign;include;organization;name;person;organization;wrong
accumulate;speak;water;cyclone;person;language;wrong
dispatch;assist;organization;team;organization;victim;correct
weaken;undergo;person;trend;person;intensification;wrong
leave;impact;;;;;correct
reach;increase;;;;;wrong
enter;displace;person;area;fault;people;wrong
distribute;affect;;;;;correct
run;come;;;;;correct
retire;mark;;;;;wrong
remove;remain;organization;debris;person;number;correct
record;drop;station;wind;storm;rainfall;wrong
extend;discontinue;;;;;wrong
judge;assign;;;;;wrong
close;reopen;;;;;correct
include;call;person;organization;person;organization;wrong
lose;hit;;;;;wrong
deploy;send;organization;team;organization;team;correct
take;develop;;;;;wrong
rise;cut;river;water;person;power;wrong
drown;damage;;;;;wrong
track;intensify;;;;;wrong
identify;affect;;;;;wrong
rat;touch;organization;tornado;tornado;southwest;wrong
submit;name;organization;report;organization;storm;wrong
weaken;dissipate;person;trend;person;mi;wrong
issue;sustain;;;;;correct
weaken;deteriorate;person;trend;storm;condition;correct
destroy;result;tornado;home;damage;flood;correct-reversed
burn;battle;fire;quantity;firefighter;blaze;correct
fall;receive;quantity;tree;person;quantity;wrong
raise;donate;organization;money;organization;money;correct
discontinue;follow;;;;;wrong
know;originate;;;;;wrong
follow;hit;organization;date;earthquake;country;wrong
increase;occur;convection;shear;earthquake;quantity;wrong
miss;recover;people;people;person;body;correct
continue;turn;;;;;wrong
flood;surround;river;area;convection;area;wrong
form;develop;person;quantity;depression;eye;wrong
close;damage;;;;;correct-reversed
peak;weaken;rainfall;wind;person;trend;wrong
undergo;name;person;intensification;organization;storm;wrong
kill;miss;;;;;correct
upgrade;enter;;;;;wrong
designate;intensify;organization;system;person;storm;wrong
die;miss;people;person;people;people;correct-reversed
battle;contain;;;;;correct
operate;include;organization;organization;person;organization;wrong
affect;close;person;country;organization;school;correct
upgrade;attain;organization;system;person;intensity;wrong
bring;exceed;storm;rain;damage;quantity;correct
destroy;lose;;;;;correct
know;form;person;cyclone;person;quantity;wrong
emerge;cause;;;;;correct
fall;rescue;;;;;correct
damage;amount;wind;home;damage;damage;correct
pass;peak;person;quantity;rainfall;wind;wrong
shake;strike;;;;;wrong
evacuate;suffer;;;;;correct
archive;retrieve;nhc;version;person;body;wrong
denote;relate;;;;;wrong
bring;kill;;;;;wrong
estimate;kill;person;wind;person;people;wrong
weaken;indicate;person;trend;report;wind;wrong
reach;undergo;person;intensity;person;intensification;wrong
sweep;occur;flood;home;earthquake;quantity;wrong
classify;upgrade;;;;;wrong
burn;contain;;;;;wrong
intensify;make;;;;;wrong
pledge;send;;;;;wrong
note;develop;;;;;wrong
expose;weaken;shear;center;person;trend;wrong
originate;intensify;person;quantity;person;storm;wrong
hit;lose;;;;;correct
weaken;absorb;person;trend;person;remnant;wrong
evacuate;surge;people;people;storm;river;correct-reversed
document;form;page;tornado;person;quantity;correct
form;remain;person;quantity;person;number;wrong
tend;delimit;;;;;wrong
attain;pass;;;;;wrong
inundate;fall;flood;area;quantity;tree;wrong
extend;upgrade;;;;;correct
continue;accelerate;;;;;correct
die;drown;people;person;people;people;correct-reversed
intensify;increase;person;storm;convection;shear;correct
occur;estimate;;;;;wrong
develop;issue;;;;;correct
inundate;flood;;;;;correct
continue;enter;person;westward;person;area;wrong
injure;strike;;;;;wrong
flood;down;;;;;wrong
cross;continue;;;;;wrong
record;hit;station;wind;earthquake;country;wrong
assign;have;organization;name;person;name;correct
decrease;pass;;;;;correct
cause;run;;;;;wrong
associate;record;person;convection;station;wind;wrong
run;extend;;;;;wrong
destroy;uproot;tornado;home;wind;tree;wrong
ignite;burn;fire;fire;fire;quantity;correct
damage;take;;;;;correct
take;affect;;;;;correct
track;pass;person;northwestward;person;quantity;wrong
form;move;;;;;wrong
say;take;official;building;person;place;wrong
sweep;damage;flood;home;wind;home;correct
block;cause;;;;;wrong
downgrade;continue;;;;;wrong
bring;destroy;;;;;wrong
track;strike;;;;;wrong
know;originate;person;cyclone;person;quantity;wrong
kill;destroy;;;;;correct
occur;feel;earthquake;quantity;person;intensity;correct
blow;sustain;;;;;wrong
dissipate;monitor;person;mi;organization;system;wrong
record;peak;station;wind;rainfall;wind;correct
die;kill;people;person;person;people;correct-reversed
accumulate;exist;water;cyclone;cyclone;problem;wrong
issue;discontinue;organization;warning;person;advisory;correct
flood;prevent;river;area;shear;flooding;correct
burn;consume;fire;quantity;fire;quantity;correct
hit;injure;earthquake;country;number;people;correct
identify;strike;organization;area;earthquake;country;wrong
affect;break;person;country;fire;record;wrong
flood;recede;;;;;correct
repair;restore;worker;damage;power;power;correct
form;assign;person;quantity;organization;name;wrong
kill;range;;;;;wrong
move;recurve;;;;;correct
affect;receive;person;country;person;quantity;correct-reversed
make;dissipate;person;landfall;person;mi;wrong
include;restore;;;;;wrong
form;accord;person;quantity;number;rating;wrong
lose;cause;people;power;storm;damage;correct-reversed
continue;increase;person;westward;convection;shear;correct-reversed
go;kill;;;;;wrong
fail;remain;;;;;wrong
weaken;attain;person;trend;person;intensity;wrong
sustain;reach;;;;;wrong
hit;add;earthquake;country;organization;quantity;wrong
strengthen;reach;person;storm;person;intensity;wrong
cover;continue;;;;;wrong
assign;have;;;;;correct
return;evacuate;;;;;correct-reversed
die;fall;people;person;quantity;tree;correct-reversed
occur;down;earthquake;quantity;wind;tree;wrong
record;report;station;wind;organization;damage;wrong
reflect;speak;;;;;wrong
retire;replace;organization;name;organization;person;correct
affect;go;;;;;wrong
issue;include;;;;;wrong
issue;raise;;;;;correct
wash;kill;flood;road;person;people;correct
deploy;assist;organization;team;organization;victim;correct
damage;total;wind;home;damage;money;correct
reflect;exist;;;;;wrong
scatter;move;;;;;correct-reversed
move;drop;person;westward;storm;rainfall;wrong
lose;cover;people;power;flood;area;wrong
leave;enter;storm;people;person;area;correct-reversed
turn;emerge;;;;;wrong
allow;locate;condition;resident;person;person;wrong
designate;issue;;;;;wrong
damage;wreck;;;;;correct
record;die;station;wind;people;person;wrong
weaken;transition;;;;;wrong
rock;measure;;;;;wrong
shift;include;;;;;wrong
accumulate;multiply;;;;;correct
measure;centre;quake;number;person;earthquake;wrong
evacuate;die;people;people;people;person;correct-reversed
damage;snap;wind;home;tornado;tree;correct-reversed
indicate;form;;;;;wrong
damage;catch;;;;;wrong
revise;determine;;;;;wrong
enter;associate;person;area;person;convection;wrong
issue;extend;;;;;wrong
reside;live;people;west;people;storm;correct
undergo;weaken;;;;;wrong
retire;replace;;;;;correct
bring;provide;storm;rain;organization;assistance;wrong
occur;locate;;;;;wrong
attain;fall;person;intensity;quantity;tree;wrong
come;go;;;;;correct
retire;prove;;;;;wrong
burn;light;fire;quantity;earthquake;fire;correct-reversed
occur;build;earthquake;quantity;person;home;wrong
sink;rescue;boat;boat;organization;people;correct
strike;jolt;;;;;correct-reversed
grow;contain;;;;;wrong
advise;evacuate;organization;resident;people;people;correct
capsize;cause;boat;boat;storm;damage;correct-reversed
remain;find;person;number;aircraft;survivor;wrong
evacuate;go;people;people;person;house;correct
burn;battle;;;;;wrong
publish;retire;person;date;organization;name;wrong
send;raise;organization;team;organization;money;wrong
damage;cover;wind;home;flood;area;correct-reversed
follow;retire;organization;date;organization;name;wrong
release;take;organization;advisory;person;place;wrong
evacuate;give;people;people;organization;way;wrong
assess;upgrade;;;;;wrong
attain;accelerate;person;intensity;person;northward;correct
rise;flood;;;;;correct
cross;strike;;;;;wrong
situate;intensify;hurricane;mi;person;storm;wrong
collapse;die;building;building;people;person;correct
uproot;destroy;;;;;correct
jolt;measure;;;;;wrong
cause;result;;;;;correct
downgrade;dissipate;;;;;correct
move;expose;person;westward;shear;center;correct
allow;rise;condition;resident;river;water;wrong
end;delimit;;;;;correct
approach;track;;;;;wrong
develop;consolidate;;;;;correct
go;know;person;house;person;cyclone;wrong
multiply;reflect;;;;;wrong
burn;start;;;;;correct-reversed
miss;flood;;;;;wrong
base;pass;;;;;wrong
sweep;throw;;;;;wrong
track;cross;person;northwestward;person;country;wrong
reach;strengthen;person;intensity;person;storm;wrong
drown;kill;;;;;correct
distribute;provide;;;;;correct
move;monitor;;;;;wrong
destroy;wash;tornado;home;flood;road;correct-reversed
send;help;;;;;correct
lose;close;;;;;wrong
accelerate;transition;;;;;wrong
associate;issue;event;convection;organization;warning;wrong
move;receive;;;;;wrong
strengthen;upgrade;;;;;correct
suspend;close;organization;service;organization;school;correct
emerge;make;;;;;wrong
donate;provide;;;;;correct
originate;track;;;;;wrong
destroy;leave;;;;;correct
replace;rotate;;;;;wrong
fall;associate;quantity;tree;person;convection;wrong
drain;lie;water;water;country;area;wrong
longitude;expect;;;;;wrong
begin;reach;;;;;correct
snap;occur;tornado;tree;earthquake;quantity;correct-reversed
strengthen;dissipate;;;;;wrong
emerge;continue;;;;;correct
mark;retire;;;;;wrong
spawn;destroy;;;;;wrong
want;beware;;;;;wrong
attain;assess;person;intensity;person;damage;wrong
